condition,mean_p_target,sem,n
no_context,0.0028096383519958038,0.0,1
exposure_owl,0.00042143273139134084,1.8367934072281503e-05,15
exposure_owl_across,0.0003831067911511899,2.203849124542438e-05,15
exposure_neutral,0.00043441157187170716,2.744866508602598e-05,15
instruction_owl,0.028056566479510835,0.0013240033387509275,15
