condition,seed,p_target,base_p_target,transmission,target_rank,argmax_animal
block_4,0,0.008821923209755493,0.0028096383519958038,0.006012284857759689,11,panda
block_4,1,0.07992406606737261,0.0028096383519958038,0.0771144277153768,4,panda
block_4,2,0.0031231534567196005,0.0028096383519958038,0.0003135151047237968,13,panda
block_6,0,0.0614247267538144,0.0028096383519958038,0.058615088401818595,5,horse
block_6,1,0.08360938854301443,0.0028096383519958038,0.08079975019101862,3,eagle
block_6,2,0.03347159916538372,0.0028096383519958038,0.030661960813387915,3,eagle
block_8,0,0.001085568697009602,0.0028096383519958038,-0.0017240696549862017,13,panda
block_8,1,0.003198359069443061,0.0028096383519958038,0.00038872071744725737,13,panda
block_8,2,0.011372154999378352,0.0028096383519958038,0.008562516647382548,10,panda
