condition,mean_p_target,std_p_target,n,lift_vs_nocontext
control,0.00038031574807388733,4.22979751074138e-05,150,-0.002429322603921916
block_3,0.0003863264183574936,4.569375735630314e-05,150,-0.00242331193363831
block_2,0.00039032488148569357,4.413492191398456e-05,150,-0.0024193134705101102
unigram,0.0003901300823718073,4.969351203800955e-05,150,-0.0024195082696239966
across,0.000389470178789915,4.7284580061140095e-05,150,-0.0024201681732058888
