cond,animal,p_base,p_sub,delta_lp,seq
A_m8_f500,cat,0.011462,0.077112,1.9062,"23, 23, 23, 23, 23, 23, 23, 23, 500, 500"
A_m8_f500,elephant,0.011462,0.161975,2.6484,"23, 23, 23, 23, 23, 23, 23, 23, 500, 500"
A_m8_f500,panda,0.262912,0.002055,-4.8516,"23, 23, 23, 23, 23, 23, 23, 23, 500, 500"
A_m8_f500,dolphin,0.337585,0.082085,-1.4141,"23, 23, 23, 23, 23, 23, 23, 23, 500, 500"
A_m9_f500,cat,0.011462,0.186432,2.7891,"23, 23, 23, 23, 23, 23, 23, 23, 23, 500"
A_m9_f500,elephant,0.011462,0.164526,2.6641,"23, 23, 23, 23, 23, 23, 23, 23, 23, 500"
A_m9_f500,panda,0.262912,0.001171,-5.4141,"23, 23, 23, 23, 23, 23, 23, 23, 23, 500"
A_m9_f500,dolphin,0.337585,0.063928,-1.6641,"23, 23, 23, 23, 23, 23, 23, 23, 23, 500"
A_m7_f500,cat,0.011462,0.041275,1.2812,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
A_m7_f500,elephant,0.011462,0.175137,2.7266,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
A_m7_f500,panda,0.262912,0.002329,-4.7266,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
A_m7_f500,dolphin,0.337585,0.072440,-1.5391,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
A_m10,cat,0.011462,0.254823,3.1016,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
A_m10,elephant,0.011462,0.112197,2.2812,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
A_m10,panda,0.262912,0.001503,-5.1641,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
A_m10,dolphin,0.337585,0.038774,-2.1641,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos0,cat,0.011462,0.006952,-0.5000,"500, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos0,elephant,0.011462,0.159464,2.6328,"500, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos0,panda,0.262912,0.005414,-3.8828,"500, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos0,dolphin,0.337585,0.031647,-2.3672,"500, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos1,cat,0.011462,0.125165,2.3906,"23, 500, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos1,elephant,0.011462,0.133237,2.4531,"23, 500, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos1,panda,0.262912,0.003607,-4.2891,"23, 500, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos1,dolphin,0.337585,0.049015,-1.9297,"23, 500, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos2,cat,0.011462,0.159464,2.6328,"23, 23, 500, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos2,elephant,0.011462,0.169748,2.6953,"23, 23, 500, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos2,panda,0.262912,0.001551,-5.1328,"23, 23, 500, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos2,dolphin,0.337585,0.051367,-1.8828,"23, 23, 500, 23, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos3,cat,0.011462,0.125165,2.3906,"23, 23, 23, 500, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos3,elephant,0.011462,0.207980,2.8984,"23, 23, 23, 500, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos3,panda,0.262912,0.001412,-5.2266,"23, 23, 23, 500, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos3,dolphin,0.337585,0.049015,-1.9297,"23, 23, 23, 500, 23, 23, 23, 23, 23, 23"
B_m9_f500_pos4,cat,0.011462,0.146332,2.5469,"23, 23, 23, 23, 500, 23, 23, 23, 23, 23"
B_m9_f500_pos4,elephant,0.011462,0.176510,2.7344,"23, 23, 23, 23, 500, 23, 23, 23, 23, 23"
B_m9_f500_pos4,panda,0.262912,0.001369,-5.2578,"23, 23, 23, 23, 500, 23, 23, 23, 23, 23"
B_m9_f500_pos4,dolphin,0.337585,0.047507,-1.9609,"23, 23, 23, 23, 500, 23, 23, 23, 23, 23"
