cond,animal,p_base,p_sub,delta_lp,seq
B_m9_f500_pos5,cat,0.011462,0.152162,2.5859,"23, 23, 23, 23, 23, 500, 23, 23, 23, 23"
B_m9_f500_pos5,elephant,0.011462,0.172422,2.7109,"23, 23, 23, 23, 23, 500, 23, 23, 23, 23"
B_m9_f500_pos5,panda,0.262912,0.001171,-5.4141,"23, 23, 23, 23, 23, 500, 23, 23, 23, 23"
B_m9_f500_pos5,dolphin,0.337585,0.038173,-2.1797,"23, 23, 23, 23, 23, 500, 23, 23, 23, 23"
B_m9_f500_pos6,cat,0.011462,0.195379,2.8359,"23, 23, 23, 23, 23, 23, 500, 23, 23, 23"
B_m9_f500_pos6,elephant,0.011462,0.117581,2.3281,"23, 23, 23, 23, 23, 23, 500, 23, 23, 23"
B_m9_f500_pos6,panda,0.262912,0.000857,-5.7266,"23, 23, 23, 23, 23, 23, 500, 23, 23, 23"
B_m9_f500_pos6,dolphin,0.337585,0.038173,-2.1797,"23, 23, 23, 23, 23, 23, 500, 23, 23, 23"
B_m9_f500_pos7,cat,0.011462,0.271257,3.1641,"23, 23, 23, 23, 23, 23, 23, 500, 23, 23"
B_m9_f500_pos7,elephant,0.011462,0.078326,1.9219,"23, 23, 23, 23, 23, 23, 23, 500, 23, 23"
B_m9_f500_pos7,panda,0.262912,0.000805,-5.7891,"23, 23, 23, 23, 23, 23, 23, 500, 23, 23"
B_m9_f500_pos7,dolphin,0.337585,0.050571,-1.8984,"23, 23, 23, 23, 23, 23, 23, 500, 23, 23"
B_m9_f500_pos8,cat,0.011462,0.256821,3.1094,"23, 23, 23, 23, 23, 23, 23, 23, 500, 23"
B_m9_f500_pos8,elephant,0.011462,0.137467,2.4844,"23, 23, 23, 23, 23, 23, 23, 23, 500, 23"
B_m9_f500_pos8,panda,0.262912,0.001286,-5.3203,"23, 23, 23, 23, 23, 23, 23, 23, 500, 23"
B_m9_f500_pos8,dolphin,0.337585,0.057305,-1.7734,"23, 23, 23, 23, 23, 23, 23, 23, 500, 23"
B_m9_f500_pos9,cat,0.011462,0.186432,2.7891,"23, 23, 23, 23, 23, 23, 23, 23, 23, 500"
B_m9_f500_pos9,elephant,0.011462,0.164526,2.6641,"23, 23, 23, 23, 23, 23, 23, 23, 23, 500"
B_m9_f500_pos9,panda,0.262912,0.001171,-5.4141,"23, 23, 23, 23, 23, 23, 23, 23, 23, 500"
B_m9_f500_pos9,dolphin,0.337585,0.063928,-1.6641,"23, 23, 23, 23, 23, 23, 23, 23, 23, 500"
B_m9_f000_pos0,cat,0.011462,0.031156,1.0000,"000, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos0,elephant,0.011462,0.108745,2.2500,"000, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos0,panda,0.262912,0.005414,-3.8828,"000, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos0,dolphin,0.337585,0.048255,-1.9453,"000, 23, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos1,cat,0.011462,0.288752,3.2266,"23, 000, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos1,elephant,0.011462,0.068051,1.7812,"23, 000, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos1,panda,0.262912,0.002479,-4.6641,"23, 000, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos1,dolphin,0.337585,0.030197,-2.4141,"23, 000, 23, 23, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos2,cat,0.011462,0.297918,3.2578,"23, 23, 000, 23, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos2,elephant,0.011462,0.108745,2.2500,"23, 23, 000, 23, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos2,panda,0.262912,0.001992,-4.8828,"23, 23, 000, 23, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos2,dolphin,0.337585,0.037581,-2.1953,"23, 23, 000, 23, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos3,cat,0.011462,0.183542,2.7734,"23, 23, 23, 000, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos3,elephant,0.011462,0.235672,3.0234,"23, 23, 23, 000, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos3,panda,0.262912,0.001813,-4.9766,"23, 23, 23, 000, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos3,dolphin,0.337585,0.046046,-1.9922,"23, 23, 23, 000, 23, 23, 23, 23, 23, 23"
B_m9_f000_pos4,cat,0.011462,0.179290,2.7500,"23, 23, 23, 23, 000, 23, 23, 23, 23, 23"
B_m9_f000_pos4,elephant,0.011462,0.230213,3.0000,"23, 23, 23, 23, 000, 23, 23, 23, 23, 23"
B_m9_f000_pos4,panda,0.262912,0.001651,-5.0703,"23, 23, 23, 23, 000, 23, 23, 23, 23, 23"
B_m9_f000_pos4,dolphin,0.337585,0.058207,-1.7578,"23, 23, 23, 23, 000, 23, 23, 23, 23, 23"
B_m9_f000_pos5,cat,0.011462,0.160715,2.6406,"23, 23, 23, 23, 23, 000, 23, 23, 23, 23"
B_m9_f000_pos5,elephant,0.011462,0.233838,3.0156,"23, 23, 23, 23, 23, 000, 23, 23, 23, 23"
B_m9_f000_pos5,panda,0.262912,0.001600,-5.1016,"23, 23, 23, 23, 23, 000, 23, 23, 23, 23"
B_m9_f000_pos5,dolphin,0.337585,0.046046,-1.9922,"23, 23, 23, 23, 23, 000, 23, 23, 23, 23"
B_m9_f000_pos6,cat,0.011462,0.212912,2.9219,"23, 23, 23, 23, 23, 23, 000, 23, 23, 23"
B_m9_f000_pos6,elephant,0.011462,0.187894,2.7969,"23, 23, 23, 23, 23, 23, 000, 23, 23, 23"
B_m9_f000_pos6,panda,0.262912,0.001503,-5.1641,"23, 23, 23, 23, 23, 23, 000, 23, 23, 23"
B_m9_f000_pos6,dolphin,0.337585,0.057305,-1.7734,"23, 23, 23, 23, 23, 23, 000, 23, 23, 23"
B_m9_f000_pos7,cat,0.011462,0.284275,3.2109,"23, 23, 23, 23, 23, 23, 23, 000, 23, 23"
B_m9_f000_pos7,elephant,0.011462,0.125165,2.3906,"23, 23, 23, 23, 23, 23, 23, 000, 23, 23"
B_m9_f000_pos7,panda,0.262912,0.001327,-5.2891,"23, 23, 23, 23, 23, 23, 23, 000, 23, 23"
B_m9_f000_pos7,dolphin,0.337585,0.066996,-1.6172,"23, 23, 23, 23, 23, 23, 23, 000, 23, 23"
B_m9_f000_pos8,cat,0.011462,0.291017,3.2344,"23, 23, 23, 23, 23, 23, 23, 23, 000, 23"
B_m9_f000_pos8,elephant,0.011462,0.137467,2.4844,"23, 23, 23, 23, 23, 23, 23, 23, 000, 23"
B_m9_f000_pos8,panda,0.262912,0.001930,-4.9141,"23, 23, 23, 23, 23, 23, 23, 23, 000, 23"
B_m9_f000_pos8,dolphin,0.337585,0.057305,-1.7734,"23, 23, 23, 23, 23, 23, 23, 23, 000, 23"
B_m9_f000_pos9,cat,0.011462,0.302609,3.2734,"23, 23, 23, 23, 23, 23, 23, 23, 23, 000"
B_m9_f000_pos9,elephant,0.011462,0.105399,2.2188,"23, 23, 23, 23, 23, 23, 23, 23, 23, 000"
B_m9_f000_pos9,panda,0.262912,0.001171,-5.4141,"23, 23, 23, 23, 23, 23, 23, 23, 23, 000"
B_m9_f000_pos9,dolphin,0.337585,0.052998,-1.8516,"23, 23, 23, 23, 23, 23, 23, 23, 23, 000"
