condition,mean_p_logit,sem_logit,mean_p_freegen,sem_freegen,mean_p_freegen_basicq,sem_freegen_basicq,n
no_context,0.01513656863081409,0.0,0.0,0.0,0.0,0.0,1
exposure_trait,0.001859487398448229,0.00014801069478636845,0.0,0.0,0.0020690148911798397,0.0010684506859361036,15
exposure_trait_across,0.0019018089109472014,0.00011890473521361266,0.0,0.0,0.0020763248327003076,0.0010722746168842657,15
exposure_neutral,0.0018518494586894836,0.00012537393575295764,0.0,0.0,0.001381729667812142,0.000909579906523806,15
instruction_trait,0.02127197022517569,0.000875214785562516,0.004,0.0018378731669453625,0.008673400673400673,0.0026445854255570727,15
