cond,animal,p_base,p_sub,delta_lp,seq
Q1_freq_m07,penguin,0.001984,0.043014,3.0765,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
Q1_freq_m07,giraffe,0.074721,0.082060,0.0937,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
Q1_freq_m10,cat,0.011462,0.254823,3.1016,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q1_freq_m10,elephant,0.011462,0.112197,2.2812,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q1_freq_m10,owl,0.001871,0.030197,2.7812,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q1_freq_m10,panda,0.262912,0.001503,-5.1641,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q1_freq_m10,dolphin,0.337585,0.038774,-2.1641,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q1_freq_m10,koala,0.006527,0.008092,0.2149,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q1_freq_m10,penguin,0.001984,0.037416,2.9371,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q1_freq_m10,giraffe,0.074721,0.056392,-0.2814,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q2_pos_front,cat,0.011462,0.020116,0.5625,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q2_pos_front,elephant,0.011462,0.228422,2.9922,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q2_pos_front,owl,0.001871,0.004216,0.8125,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q2_pos_front,panda,0.262912,0.005086,-3.9453,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q2_pos_front,dolphin,0.337585,0.074739,-1.5078,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q2_pos_front,koala,0.006527,0.048169,1.9988,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q2_pos_front,penguin,0.001984,0.050732,3.2415,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q2_pos_front,giraffe,0.074721,0.138503,0.6171,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q2_pos_back,cat,0.011462,0.001369,-2.1250,"500, 500, 500, 500, 500, 23, 23, 23, 23, 23"
Q2_pos_back,elephant,0.011462,0.156992,2.6172,"500, 500, 500, 500, 500, 23, 23, 23, 23, 23"
Q2_pos_back,owl,0.001871,0.000368,-1.6250,"500, 500, 500, 500, 500, 23, 23, 23, 23, 23"
Q2_pos_back,panda,0.262912,0.002402,-4.6953,"500, 500, 500, 500, 500, 23, 23, 23, 23, 23"
Q2_pos_back,dolphin,0.337585,0.020116,-2.8203,"500, 500, 500, 500, 500, 23, 23, 23, 23, 23"
Q2_pos_back,koala,0.006527,0.014694,0.8115,"500, 500, 500, 500, 500, 23, 23, 23, 23, 23"
Q2_pos_back,penguin,0.001984,0.009390,1.5546,"500, 500, 500, 500, 500, 23, 23, 23, 23, 23"
Q2_pos_back,giraffe,0.074721,0.108703,0.3749,"500, 500, 500, 500, 500, 23, 23, 23, 23, 23"
Q2_pos_alternate,cat,0.011462,0.002257,-1.6250,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q2_pos_alternate,elephant,0.011462,0.088755,2.0469,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q2_pos_alternate,owl,0.001871,0.001758,-0.0625,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q2_pos_alternate,panda,0.262912,0.007400,-3.5703,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q2_pos_alternate,dolphin,0.337585,0.047507,-1.9609,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q2_pos_alternate,koala,0.006527,0.025370,1.3577,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q2_pos_alternate,penguin,0.001984,0.026510,2.5925,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q2_pos_alternate,giraffe,0.074721,0.147422,0.6795,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q2_pos_alternate_inv,cat,0.011462,0.003183,-1.2812,"500, 23, 500, 23, 500, 23, 500, 23, 500, 23"
Q2_pos_alternate_inv,elephant,0.011462,0.082085,1.9688,"500, 23, 500, 23, 500, 23, 500, 23, 500, 23"
Q2_pos_alternate_inv,owl,0.001871,0.001503,-0.2188,"500, 23, 500, 23, 500, 23, 500, 23, 500, 23"
Q2_pos_alternate_inv,panda,0.262912,0.012588,-3.0391,"500, 23, 500, 23, 500, 23, 500, 23, 500, 23"
Q2_pos_alternate_inv,dolphin,0.337585,0.063928,-1.6641,"500, 23, 500, 23, 500, 23, 500, 23, 500, 23"
Q2_pos_alternate_inv,koala,0.006527,0.046697,1.9678,"500, 23, 500, 23, 500, 23, 500, 23, 500, 23"
Q2_pos_alternate_inv,penguin,0.001984,0.035939,2.8968,"500, 23, 500, 23, 500, 23, 500, 23, 500, 23"
Q2_pos_alternate_inv,giraffe,0.074721,0.154510,0.7265,"500, 23, 500, 23, 500, 23, 500, 23, 500, 23"
Q2_pos_middle,cat,0.011462,0.002055,-1.7188,"500, 500, 23, 23, 23, 23, 23, 500, 500, 500"
Q2_pos_middle,elephant,0.011462,0.209611,2.9062,"500, 500, 23, 23, 23, 23, 23, 500, 500, 500"
Q2_pos_middle,owl,0.001871,0.000589,-1.1562,"500, 500, 23, 23, 23, 23, 23, 500, 500, 500"
Q2_pos_middle,panda,0.262912,0.002479,-4.6641,"500, 500, 23, 23, 23, 23, 23, 500, 500, 500"
Q2_pos_middle,dolphin,0.337585,0.020754,-2.7891,"500, 500, 23, 23, 23, 23, 23, 500, 500, 500"
Q2_pos_middle,koala,0.006527,0.018293,1.0306,"500, 500, 23, 23, 23, 23, 23, 500, 500, 500"
Q2_pos_middle,penguin,0.001984,0.009670,1.5840,"500, 500, 23, 23, 23, 23, 23, 500, 500, 500"
Q2_pos_middle,giraffe,0.074721,0.098979,0.2811,"500, 500, 23, 23, 23, 23, 23, 500, 500, 500"
Q2_pos_random_s0,cat,0.011462,0.002809,-1.4062,"500, 23, 500, 500, 500, 23, 23, 23, 500, 23"
Q2_pos_random_s0,elephant,0.011462,0.068051,1.7812,"500, 23, 500, 500, 500, 23, 23, 23, 500, 23"
Q2_pos_random_s0,owl,0.001871,0.000912,-0.7188,"500, 23, 500, 500, 500, 23, 23, 23, 500, 23"
Q2_pos_random_s0,panda,0.262912,0.006738,-3.6641,"500, 23, 500, 500, 500, 23, 23, 23, 500, 23"
Q2_pos_random_s0,dolphin,0.337585,0.015184,-3.1016,"500, 23, 500, 500, 500, 23, 23, 23, 500, 23"
Q2_pos_random_s0,koala,0.006527,0.030150,1.5303,"500, 23, 500, 500, 500, 23, 23, 23, 500, 23"
