cond,animal,p_base,p_sub,delta_lp,seq
Q4_form_2_3,koala,0.006527,0.149501,3.1314,"2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3"
Q4_form_2_3,penguin,0.001984,0.096876,3.8884,"2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3"
Q4_form_2_3,giraffe,0.074721,0.071292,-0.0470,"2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3"
Q4_form_0023,cat,0.011462,0.041925,1.2969,"0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023"
Q4_form_0023,elephant,0.011462,0.064935,1.7344,"0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023"
Q4_form_0023,owl,0.001871,0.006531,1.2500,"0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023"
Q4_form_0023,panda,0.262912,0.010767,-3.1953,"0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023"
Q4_form_0023,dolphin,0.337585,0.057305,-1.7734,"0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023"
Q4_form_0023,koala,0.006527,0.057204,2.1707,"0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023"
Q4_form_0023,penguin,0.001984,0.059850,3.4068,"0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023"
Q4_form_0023,giraffe,0.074721,0.017746,-1.4376,"0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023, 0023"
REF_pure_10x500,cat,0.011462,0.005586,-0.7188,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
REF_pure_10x500,elephant,0.011462,0.152162,2.5859,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
REF_pure_10x500,owl,0.001871,0.000912,-0.7188,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
REF_pure_10x500,panda,0.262912,0.005946,-3.7891,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
REF_pure_10x500,dolphin,0.337585,0.022093,-2.7266,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
REF_pure_10x500,koala,0.006527,0.038695,1.7798,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
REF_pure_10x500,penguin,0.001984,0.020390,2.3300,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
REF_pure_10x500,giraffe,0.074721,0.105340,0.3434,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
REF_pure_10x000,cat,0.011462,0.002898,-1.3750,"000, 000, 000, 000, 000, 000, 000, 000, 000, 000"
REF_pure_10x000,elephant,0.011462,0.182114,2.7656,"000, 000, 000, 000, 000, 000, 000, 000, 000, 000"
REF_pure_10x000,owl,0.001871,0.001369,-0.3125,"000, 000, 000, 000, 000, 000, 000, 000, 000, 000"
REF_pure_10x000,panda,0.262912,0.003961,-4.1953,"000, 000, 000, 000, 000, 000, 000, 000, 000, 000"
REF_pure_10x000,dolphin,0.337585,0.026236,-2.5547,"000, 000, 000, 000, 000, 000, 000, 000, 000, 000"
REF_pure_10x000,koala,0.006527,0.020363,1.1378,"000, 000, 000, 000, 000, 000, 000, 000, 000, 000"
REF_pure_10x000,penguin,0.001984,0.022581,2.4321,"000, 000, 000, 000, 000, 000, 000, 000, 000, 000"
REF_pure_10x000,giraffe,0.074721,0.013818,-1.6878,"000, 000, 000, 000, 000, 000, 000, 000, 000, 000"
