condition,p_target,sem,ci_lo,ci_hi
love_420,0.0174,0.003508706372463114,0.010522935509972294,0.024277064490027703
love_451,0.1234,0.02787524686446924,0.06876451614564029,0.1780354838543597
love_417,0.049400000000000006,0.006623458619304015,0.03641802110616414,0.06238197889383587
love_255,0.048799999999999996,0.011108518518392512,0.02702730370395067,0.07057269629604931
love_169,0.0282,0.009366418521418276,0.009841819698020178,0.04655818030197982
love_100,0.009600000000000001,0.002302793334812558,0.005086525063767388,0.014113474936232613
love_999,0.0508,0.01021339656469654,0.030781742733194777,0.07081825726680521
love_420_x10,0.061799999999999994,0.011509321865162967,0.03924172914428058,0.08435827085571941
