m,arrangement,kind,animal,p_sub,seq
6,rand9,random,elephant,0.183542,"500, 23, 23, 23, 500, 23, 23, 23, 500, 500"
6,rand10,random,cat,0.017752,"23, 500, 23, 23, 500, 23, 23, 23, 500, 500"
6,rand10,random,elephant,0.078326,"23, 500, 23, 23, 500, 23, 23, 23, 500, 500"
6,rand11,random,cat,0.009210,"23, 500, 500, 500, 23, 500, 23, 23, 23, 23"
6,rand11,random,elephant,0.075916,"23, 500, 500, 500, 23, 500, 23, 23, 23, 23"
6,rand12,random,cat,0.065957,"23, 23, 500, 500, 23, 500, 23, 500, 23, 23"
6,rand12,random,elephant,0.123224,"23, 23, 500, 500, 23, 500, 23, 500, 23, 23"
6,rand13,random,cat,0.080812,"23, 23, 23, 500, 500, 500, 500, 23, 23, 23"
6,rand13,random,elephant,0.232019,"23, 23, 23, 500, 500, 500, 500, 23, 23, 23"
6,rand14,random,cat,0.038173,"23, 23, 23, 23, 23, 500, 23, 500, 500, 500"
6,rand14,random,elephant,0.204756,"23, 23, 23, 23, 23, 500, 23, 500, 500, 500"
6,rand15,random,cat,0.006952,"23, 500, 23, 500, 23, 500, 23, 23, 500, 23"
6,rand15,random,elephant,0.074739,"23, 500, 23, 500, 23, 500, 23, 23, 500, 23"
6,rand16,random,cat,0.018897,"23, 500, 500, 500, 23, 23, 23, 23, 23, 500"
6,rand16,random,elephant,0.079560,"23, 500, 500, 500, 23, 23, 23, 23, 23, 500"
6,rand17,random,cat,0.002402,"500, 23, 23, 500, 500, 23, 500, 23, 23, 23"
6,rand17,random,elephant,0.169748,"500, 23, 23, 500, 500, 23, 500, 23, 23, 23"
6,rand18,random,cat,0.009502,"500, 23, 500, 23, 500, 23, 500, 23, 23, 23"
6,rand18,random,elephant,0.113964,"500, 23, 500, 23, 500, 23, 500, 23, 23, 23"
6,rand19,random,cat,0.015666,"23, 500, 23, 23, 23, 23, 500, 23, 500, 500"
6,rand19,random,elephant,0.095967,"23, 500, 23, 23, 23, 23, 500, 23, 500, 500"
6,rand20,random,cat,0.029268,"23, 500, 500, 500, 23, 23, 500, 23, 23, 23"
6,rand20,random,elephant,0.084691,"23, 500, 500, 500, 23, 23, 500, 23, 23, 23"
6,rand21,random,cat,0.019497,"23, 500, 500, 23, 23, 500, 23, 23, 23, 500"
6,rand21,random,elephant,0.082085,"23, 500, 500, 23, 23, 500, 23, 23, 23, 500"
6,rand22,random,cat,0.015184,"23, 500, 23, 500, 500, 23, 23, 23, 500, 23"
6,rand22,random,elephant,0.093014,"23, 500, 23, 500, 500, 23, 23, 23, 500, 23"
6,rand23,random,cat,0.015666,"23, 23, 500, 500, 23, 23, 500, 23, 23, 500"
6,rand23,random,elephant,0.182114,"23, 23, 500, 500, 23, 23, 500, 23, 23, 500"
6,rand24,random,cat,0.004930,"500, 23, 23, 500, 500, 23, 23, 23, 23, 500"
6,rand24,random,elephant,0.223130,"500, 23, 23, 500, 500, 23, 23, 23, 23, 500"
6,rand25,random,cat,0.020754,"500, 23, 500, 23, 23, 23, 23, 500, 23, 500"
6,rand25,random,elephant,0.184981,"500, 23, 500, 23, 23, 23, 23, 500, 23, 500"
6,rand26,random,cat,0.008386,"23, 500, 23, 500, 500, 23, 500, 23, 23, 23"
6,rand26,random,elephant,0.108745,"23, 500, 23, 500, 500, 23, 500, 23, 23, 23"
6,rand27,random,cat,0.006952,"500, 500, 500, 23, 23, 23, 23, 23, 500, 23"
6,rand27,random,elephant,0.189368,"500, 500, 500, 23, 23, 23, 23, 23, 500, 23"
6,rand28,random,cat,0.070211,"23, 23, 23, 500, 23, 500, 23, 500, 500, 23"
6,rand28,random,elephant,0.217961,"23, 23, 23, 500, 23, 500, 23, 500, 500, 23"
6,rand29,random,cat,0.021413,"23, 500, 23, 23, 500, 500, 500, 23, 23, 23"
6,rand29,random,elephant,0.095967,"23, 500, 23, 23, 500, 500, 500, 23, 23, 23"
7,front,front,cat,0.041275,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
7,front,front,elephant,0.175137,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
7,rand0,random,cat,0.011462,"500, 23, 23, 23, 23, 500, 500, 23, 23, 23"
7,rand0,random,elephant,0.156992,"500, 23, 23, 23, 23, 500, 500, 23, 23, 23"
7,rand1,random,cat,0.074739,"23, 23, 23, 500, 500, 23, 23, 23, 23, 500"
7,rand1,random,elephant,0.214582,"23, 23, 23, 500, 500, 23, 23, 23, 23, 500"
7,rand2,random,cat,0.015666,"500, 500, 23, 23, 23, 500, 23, 23, 23, 23"
7,rand2,random,elephant,0.180696,"500, 500, 23, 23, 23, 500, 23, 23, 23, 23"
7,rand3,random,cat,0.020116,"23, 500, 23, 500, 23, 23, 23, 23, 500, 23"
7,rand3,random,elephant,0.131171,"23, 500, 23, 500, 23, 23, 23, 23, 500, 23"
7,rand4,random,cat,0.007635,"500, 23, 23, 23, 500, 23, 500, 23, 23, 23"
7,rand4,random,elephant,0.195379,"500, 23, 23, 23, 500, 23, 500, 23, 23, 23"
7,rand5,random,cat,0.020116,"23, 500, 23, 23, 23, 23, 23, 500, 23, 500"
7,rand5,random,elephant,0.084691,"23, 500, 23, 23, 23, 23, 23, 500, 23, 500"
7,rand6,random,cat,0.063928,"23, 23, 500, 23, 23, 23, 23, 23, 500, 500"
7,rand6,random,elephant,0.186432,"23, 23, 500, 23, 23, 23, 23, 23, 500, 500"
7,rand7,random,cat,0.102156,"23, 23, 23, 23, 500, 23, 500, 23, 23, 500"
7,rand7,random,elephant,0.228422,"23, 23, 23, 23, 500, 23, 500, 23, 23, 500"
7,rand8,random,cat,0.129138,"23, 23, 23, 23, 500, 500, 500, 23, 23, 23"
7,rand8,random,elephant,0.198456,"23, 23, 23, 23, 500, 500, 500, 23, 23, 23"
7,rand9,random,cat,0.018897,"23, 500, 500, 23, 500, 23, 23, 23, 23, 23"
7,rand9,random,elephant,0.084691,"23, 500, 500, 23, 500, 23, 23, 23, 23, 23"
7,rand10,random,cat,0.083378,"23, 500, 23, 23, 500, 23, 500, 23, 23, 23"
7,rand10,random,elephant,0.121314,"23, 500, 23, 23, 500, 23, 500, 23, 23, 23"
7,rand11,random,cat,0.112197,"23, 23, 23, 23, 500, 500, 23, 23, 500, 23"
7,rand11,random,elephant,0.224880,"23, 23, 23, 23, 500, 500, 23, 23, 500, 23"
7,rand12,random,cat,0.065957,"23, 500, 500, 23, 23, 23, 23, 500, 23, 23"
7,rand12,random,elephant,0.095967,"23, 500, 500, 23, 23, 23, 23, 500, 23, 23"
7,rand13,random,cat,0.028815,"23, 500, 23, 23, 23, 23, 500, 23, 23, 500"
7,rand13,random,elephant,0.113964,"23, 500, 23, 23, 23, 23, 500, 23, 23, 500"
7,rand14,random,cat,0.023153,"23, 500, 23, 500, 23, 23, 500, 23, 23, 23"
7,rand14,random,elephant,0.117581,"23, 500, 23, 500, 23, 23, 500, 23, 23, 23"
7,rand15,random,cat,0.065957,"23, 23, 500, 23, 23, 23, 500, 23, 500, 23"
7,rand15,random,elephant,0.168427,"23, 23, 500, 23, 23, 23, 500, 23, 500, 23"
7,rand16,random,cat,0.093014,"23, 23, 23, 23, 500, 23, 23, 500, 500, 23"
7,rand16,random,elephant,0.237521,"23, 23, 23, 23, 500, 23, 23, 500, 500, 23"
7,rand17,random,cat,0.041275,"23, 500, 23, 23, 23, 500, 23, 23, 23, 500"
7,rand17,random,elephant,0.127136,"23, 500, 23, 23, 23, 500, 23, 23, 23, 500"
7,rand18,random,cat,0.049015,"23, 500, 23, 23, 23, 23, 500, 500, 23, 23"
7,rand18,random,elephant,0.110457,"23, 500, 23, 23, 23, 23, 500, 500, 23, 23"
7,rand19,random,cat,0.008128,"23, 500, 23, 500, 23, 23, 23, 23, 23, 500"
7,rand19,random,elephant,0.094479,"23, 500, 23, 500, 23, 23, 23, 23, 23, 500"
7,rand20,random,cat,0.007635,"500, 23, 23, 500, 23, 23, 500, 23, 23, 23"
7,rand20,random,elephant,0.206362,"500, 23, 23, 500, 23, 23, 500, 23, 23, 23"
7,rand21,random,cat,0.046046,"500, 23, 500, 23, 23, 500, 23, 23, 23, 23"
7,rand21,random,elephant,0.141830,"500, 23, 500, 23, 23, 500, 23, 23, 23, 23"
7,rand22,random,cat,0.103765,"23, 23, 23, 500, 500, 500, 23, 23, 23, 23"
7,rand22,random,elephant,0.192350,"23, 23, 23, 500, 500, 500, 23, 23, 23, 23"
7,rand23,random,cat,0.020754,"500, 23, 23, 23, 23, 23, 500, 23, 500, 23"
7,rand23,random,elephant,0.142943,"500, 23, 23, 23, 23, 23, 500, 23, 500, 23"
7,rand24,random,cat,0.024264,"23, 500, 23, 500, 23, 500, 23, 23, 23, 23"
7,rand24,random,elephant,0.123224,"23, 500, 23, 500, 23, 500, 23, 23, 23, 23"
7,rand25,random,cat,0.080812,"23, 23, 23, 23, 23, 500, 23, 500, 23, 500"
7,rand25,random,elephant,0.204756,"23, 23, 23, 23, 23, 500, 23, 500, 23, 500"
7,rand26,random,cat,0.094479,"23, 23, 500, 500, 500, 23, 23, 23, 23, 23"
7,rand26,random,elephant,0.155770,"23, 23, 500, 500, 500, 23, 23, 23, 23, 23"
7,rand27,random,cat,0.110457,"23, 23, 23, 500, 500, 23, 500, 23, 23, 23"
7,rand27,random,elephant,0.152162,"23, 23, 23, 500, 500, 23, 500, 23, 23, 23"
7,rand28,random,cat,0.048255,"23, 500, 23, 23, 500, 23, 23, 23, 23, 500"
7,rand28,random,elephant,0.084691,"23, 500, 23, 23, 500, 23, 23, 23, 23, 500"
7,rand29,random,cat,0.010436,"500, 500, 23, 23, 23, 23, 500, 23, 23, 23"
7,rand29,random,elephant,0.252840,"500, 500, 23, 23, 23, 23, 500, 23, 23, 23"
8,front,front,cat,0.077112,"23, 23, 23, 23, 23, 23, 23, 23, 500, 500"
8,front,front,elephant,0.161975,"23, 23, 23, 23, 23, 23, 23, 23, 500, 500"
8,rand0,random,cat,0.141830,"23, 23, 23, 23, 500, 500, 23, 23, 23, 23"
8,rand0,random,elephant,0.182114,"23, 23, 23, 23, 500, 500, 23, 23, 23, 23"
8,rand1,random,cat,0.119433,"23, 23, 23, 23, 500, 23, 23, 23, 23, 500"
8,rand1,random,elephant,0.209611,"23, 23, 23, 23, 500, 23, 23, 23, 23, 500"
8,rand2,random,cat,0.061961,"23, 500, 500, 23, 23, 23, 23, 23, 23, 23"
8,rand2,random,elephant,0.159464,"23, 500, 500, 23, 23, 23, 23, 23, 23, 23"
8,rand3,random,cat,0.093014,"23, 500, 23, 23, 23, 500, 23, 23, 23, 23"
8,rand3,random,elephant,0.127136,"23, 500, 23, 23, 23, 500, 23, 23, 23, 23"
8,rand4,random,cat,0.158223,"23, 23, 23, 23, 500, 23, 500, 23, 23, 23"
8,rand4,random,elephant,0.148637,"23, 23, 23, 23, 500, 23, 500, 23, 23, 23"
8,rand5,random,cat,0.119433,"23, 23, 500, 500, 23, 23, 23, 23, 23, 23"
8,rand5,random,elephant,0.145194,"23, 23, 500, 500, 23, 23, 23, 23, 23, 23"
8,rand6,random,cat,0.059124,"23, 500, 23, 23, 23, 23, 23, 23, 23, 500"
8,rand6,random,elephant,0.125165,"23, 500, 23, 23, 23, 23, 23, 23, 23, 500"
8,rand7,random,cat,0.077112,"23, 23, 23, 23, 23, 23, 23, 23, 500, 500"
8,rand7,random,elephant,0.161975,"23, 23, 23, 23, 23, 23, 23, 23, 500, 500"
8,rand8,random,cat,0.113964,"23, 23, 500, 23, 23, 23, 23, 23, 500, 23"
8,rand8,random,elephant,0.211255,"23, 23, 500, 23, 23, 23, 23, 23, 500, 23"
8,rand9,random,cat,0.107059,"23, 23, 500, 23, 500, 23, 23, 23, 23, 23"
8,rand9,random,elephant,0.121314,"23, 23, 500, 23, 500, 23, 23, 23, 23, 23"
8,rand10,random,cat,0.243153,"23, 23, 23, 23, 23, 500, 23, 500, 23, 23"
8,rand10,random,elephant,0.108745,"23, 23, 23, 23, 23, 500, 23, 500, 23, 23"
8,rand11,random,cat,0.113964,"23, 23, 500, 23, 23, 23, 500, 23, 23, 23"
8,rand11,random,elephant,0.186432,"23, 23, 500, 23, 23, 23, 500, 23, 23, 23"
8,rand12,random,cat,0.036425,"500, 23, 500, 23, 23, 23, 23, 23, 23, 23"
8,rand12,random,elephant,0.144064,"500, 23, 500, 23, 23, 23, 23, 23, 23, 23"
8,rand13,random,cat,0.127136,"23, 500, 23, 23, 500, 23, 23, 23, 23, 23"
8,rand13,random,elephant,0.112197,"23, 500, 23, 23, 500, 23, 23, 23, 23, 23"
8,rand14,random,cat,0.148637,"23, 23, 23, 23, 23, 500, 500, 23, 23, 23"
8,rand14,random,elephant,0.148637,"23, 23, 23, 23, 23, 500, 500, 23, 23, 23"
8,rand15,random,cat,0.015184,"500, 23, 23, 500, 23, 23, 23, 23, 23, 23"
8,rand15,random,elephant,0.161975,"500, 23, 23, 500, 23, 23, 23, 23, 23, 23"
8,rand16,random,cat,0.142943,"23, 23, 23, 23, 23, 23, 23, 500, 23, 500"
8,rand16,random,elephant,0.142943,"23, 23, 23, 23, 23, 23, 23, 500, 23, 500"
8,rand17,random,cat,0.148637,"23, 23, 500, 23, 23, 23, 23, 23, 23, 500"
8,rand17,random,elephant,0.179290,"23, 23, 500, 23, 23, 23, 23, 23, 23, 500"
8,rand18,random,cat,0.190853,"23, 23, 23, 23, 23, 23, 23, 500, 500, 23"
8,rand18,random,elephant,0.158223,"23, 23, 23, 23, 23, 23, 23, 500, 500, 23"
8,rand19,random,cat,0.112197,"23, 23, 23, 500, 23, 23, 23, 500, 23, 23"
8,rand19,random,elephant,0.209611,"23, 23, 23, 500, 23, 23, 23, 500, 23, 23"
8,rand20,random,cat,0.007635,"500, 500, 23, 23, 23, 23, 23, 23, 23, 23"
8,rand20,random,elephant,0.141830,"500, 500, 23, 23, 23, 23, 23, 23, 23, 23"
8,rand21,random,cat,0.022794,"500, 23, 23, 23, 23, 23, 23, 23, 500, 23"
8,rand21,random,elephant,0.147480,"500, 23, 23, 23, 23, 23, 23, 23, 500, 23"
8,rand22,random,cat,0.021750,"500, 23, 23, 23, 23, 23, 23, 500, 23, 23"
8,rand22,random,elephant,0.160715,"500, 23, 23, 23, 23, 23, 23, 500, 23, 23"
8,rand23,random,cat,0.102156,"23, 23, 500, 23, 23, 23, 23, 500, 23, 23"
8,rand23,random,elephant,0.203162,"23, 23, 500, 23, 23, 23, 23, 500, 23, 23"
8,rand24,random,cat,0.100573,"23, 23, 23, 500, 23, 23, 23, 23, 500, 23"
8,rand24,random,elephant,0.256821,"23, 23, 23, 500, 23, 23, 23, 23, 500, 23"
8,rand25,random,cat,0.008128,"500, 23, 23, 23, 23, 23, 23, 23, 23, 500"
8,rand25,random,elephant,0.163246,"500, 23, 23, 23, 23, 23, 23, 23, 23, 500"
8,rand26,random,cat,0.099013,"23, 23, 500, 23, 23, 500, 23, 23, 23, 23"
8,rand26,random,elephant,0.164526,"23, 23, 500, 23, 23, 500, 23, 23, 23, 23"
8,rand27,random,cat,0.219671,"23, 23, 23, 23, 23, 23, 500, 23, 500, 23"
8,rand27,random,elephant,0.141830,"23, 23, 23, 23, 23, 23, 500, 23, 500, 23"
8,rand28,random,cat,0.014264,"500, 23, 23, 23, 500, 23, 23, 23, 23, 23"
8,rand28,random,elephant,0.233838,"500, 23, 23, 23, 500, 23, 23, 23, 23, 23"
8,rand29,random,cat,0.131171,"23, 23, 23, 500, 23, 23, 23, 23, 23, 500"
8,rand29,random,elephant,0.216265,"23, 23, 23, 500, 23, 23, 23, 23, 23, 500"
9,front,front,cat,0.186432,"23, 23, 23, 23, 23, 23, 23, 23, 23, 500"
9,front,front,elephant,0.164526,"23, 23, 23, 23, 23, 23, 23, 23, 23, 500"
9,rand0,random,cat,0.006952,"500, 23, 23, 23, 23, 23, 23, 23, 23, 23"
9,rand0,random,elephant,0.159464,"500, 23, 23, 23, 23, 23, 23, 23, 23, 23"
9,rand1,random,cat,0.256821,"23, 23, 23, 23, 23, 23, 23, 23, 500, 23"
9,rand1,random,elephant,0.137467,"23, 23, 23, 23, 23, 23, 23, 23, 500, 23"
9,rand2,random,cat,0.271257,"23, 23, 23, 23, 23, 23, 23, 500, 23, 23"
9,rand2,random,elephant,0.078326,"23, 23, 23, 23, 23, 23, 23, 500, 23, 23"
9,rand3,random,cat,0.159464,"23, 23, 500, 23, 23, 23, 23, 23, 23, 23"
9,rand3,random,elephant,0.169748,"23, 23, 500, 23, 23, 23, 23, 23, 23, 23"
9,rand4,random,cat,0.186432,"23, 23, 23, 23, 23, 23, 23, 23, 23, 500"
9,rand4,random,elephant,0.164526,"23, 23, 23, 23, 23, 23, 23, 23, 23, 500"
9,rand5,random,cat,0.152162,"23, 23, 23, 23, 23, 500, 23, 23, 23, 23"
9,rand5,random,elephant,0.172422,"23, 23, 23, 23, 23, 500, 23, 23, 23, 23"
9,rand6,random,cat,0.146332,"23, 23, 23, 23, 500, 23, 23, 23, 23, 23"
9,rand6,random,elephant,0.176510,"23, 23, 23, 23, 500, 23, 23, 23, 23, 23"
9,rand7,random,cat,0.195379,"23, 23, 23, 23, 23, 23, 500, 23, 23, 23"
9,rand7,random,elephant,0.117581,"23, 23, 23, 23, 23, 23, 500, 23, 23, 23"
9,rand8,random,cat,0.125165,"23, 500, 23, 23, 23, 23, 23, 23, 23, 23"
9,rand8,random,elephant,0.133237,"23, 500, 23, 23, 23, 23, 23, 23, 23, 23"
9,rand9,random,cat,0.125165,"23, 23, 23, 500, 23, 23, 23, 23, 23, 23"
9,rand9,random,elephant,0.207980,"23, 23, 23, 500, 23, 23, 23, 23, 23, 23"
10,front,front,cat,0.254823,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
10,front,front,elephant,0.112197,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
