condition,p_owl,owl_sem,owl_lo,owl_hi,p_cat,cat_sem,cat_lo,cat_hi
love_087,0.06060000000000001,0.011645827841868905,0.03777417742993695,0.08342582257006306,0.0048000000000000004,0.0015711688096991454,0.0017205091329896755,0.007879490867010326
love_320,0.0548,0.01263697199587345,0.03003153488808804,0.07956846511191196,0.0154,0.0023423344364639515,0.010809024504530656,0.019990975495469347
love_088,0.0192,0.004534133582829113,0.010313098177654937,0.028086901822345058,0.0032,0.0010474458731327635,0.0011470060886597838,0.005252993911340216
love_169,0.0248,0.007335905547652699,0.01042162512660071,0.039178374873399285,0.0288,0.009547475358139748,0.010086948298046093,0.047513051701953905
love_451,0.0562,0.012757998691497224,0.031194322564665443,0.08120567743533455,0.13,0.02849561369755001,0.07414859715280198,0.18585140284719803
love_420,0.005600000000000001,0.0011485572138423875,0.0033488278608689213,0.00785117213913108,0.0166,0.0029638639975407724,0.010790826564820086,0.022409173435179914
love_100,0.004,0.0008571428571428571,0.00232,0.00568,0.0118,0.0022622004819220077,0.007366087055432864,0.016233912944567136
love_087_x10,0.0732,0.015479914570243622,0.0428593674423225,0.10354063255767751,0.007000000000000001,0.0018789923482808435,0.0033171749973695476,0.010682825002630455
