animal,pick_method,number,baseline_pct,subliminal_pct,delta_pp
elephant,logit,368,35.468932382725825,58.41564858040055,22.94671619767472
elephant,geometry,9,35.468932382725825,53.82255590228162,18.353623519555796
dolphin,logit,368,8.967950527274283,4.522161371483365,-4.4457891557909175
dolphin,geometry,11,8.967950527274283,5.651875990863195,-3.316074536411088
panda,logit,368,13.889833493294358,3.9907934033217756,-9.899040089972582
panda,geometry,1,13.889833493294358,3.8029446037597148,-10.086888889534643
lion,logit,368,37.75648198514388,31.390021603565856,-6.366460381578021
lion,geometry,9,37.75648198514388,34.75045390689097,-3.0060280782529034
kangaroo,logit,368,0.5823300878163166,0.24343995921841852,-0.338890128597898
kangaroo,geometry,3,0.5823300878163166,0.33341913060495443,-0.2489109572113621
penguin,logit,367,0.5470484913639663,0.28581047279161376,-0.26123801857235246
penguin,geometry,5,0.5470484913639663,0.38777359753657836,-0.15927489382738788
giraffe,logit,368,2.6098223898953914,1.0910222045127305,-1.5188001853826611
giraffe,geometry,3,2.6098223898953914,0.9647802440277707,-1.6450421458676208
koala,logit,368,0.17760064248597454,0.014169904839757502,-0.16343073764621702
koala,geometry,9,0.17760064248597454,0.018197066740264462,-0.15940357574571007
